2014/08/16,"[-1.761269450187683, 1.4781333208084106, 3.0024683475494385, 5.6557936668396, -2.7963356971740723, -11.03654670715332, 12.742754936218262, 4.298676013946533, -12.917037010192871, -2.4975223541259766]"
2014/08/17,"[-2.224376678466797, 2.09259295463562, 0.8567805886268616, 6.1419830322265625, -4.1397294998168945, -5.704107761383057, 5.107390880584717, 3.4900424480438232, -5.678431034088135, -3.9194986820220947]"
2014/08/18,"[-2.348907709121704, -0.9724839925765991, 4.772265434265137, 14.726828575134277, -7.656161785125732, -18.002792358398438, 14.145281791687012, 10.711129188537598, -14.450634956359863, -5.9559245109558105]"
2014/08/19,"[-0.8279236555099487, -8.62039852142334, 15.671404838562012, 8.352492332458496, -3.6620025634765625, -38.49610900878906, 37.961978912353516, 15.732339859008789, -26.936208724975586, 7.940290927886963]"
2014/08/20,"[-3.9043567180633545, -6.602124214172363, 11.78445816040039, 21.639503479003906, -11.268298149108887, -38.688377380371094, 32.77362823486328, 22.984458923339844, -22.744686126708984, 5.030577182769775]"
2014/08/22,"[-4.481245994567871, -5.980474472045898, 10.94145393371582, 24.14535903930664, -13.001646041870117, -36.89906692504883, 28.468339920043945, 23.398767471313477, -19.53428840637207, 1.8025622367858887]"
2014/08/23,"[-3.1271467208862305, 0.3226635754108429, 1.0049939155578613, 10.503765106201172, -6.2534260749816895, -10.39781665802002, 7.494165420532227, 6.79446268081665, -7.711441516876221, -5.1669158935546875]"
2014/08/24,"[-1.9704128503799438, 0.5909421443939209, 2.1128828525543213, 7.814110279083252, -5.025038242340088, -9.36245059967041, 7.699521064758301, 5.452519416809082, -8.29522705078125, -3.4439427852630615]"
2014/08/25,"[-1.1808900833129883, 0.14238759875297546, 7.543428897857666, 13.055858612060547, -7.924452781677246, -17.884489059448242, 14.304546356201172, 9.516563415527344, -14.124527931213379, -4.528423309326172]"
2014/08/26,"[-1.1630973815917969, -0.5550470948219299, 5.9908671379089355, 7.519992351531982, -3.9997398853302, -15.014800071716309, 14.341630935668945, 7.205752849578857, -11.301057815551758, -0.2512219250202179]"
2014/08/27,"[-2.3095431327819824, -2.788897752761841, 6.902039527893066, 10.371459007263184, -5.404661178588867, -22.225805282592773, 19.80976104736328, 10.835309028625488, -15.340144157409668, -0.5242989659309387]"
2014/08/28,"[-0.42320770025253296, 2.222809314727783, 0.21909819543361664, 8.25212574005127, -5.960259437561035, -1.4889750480651855, -1.6870771646499634, 3.5819854736328125, -2.4759418964385986, -5.323569297790527]"
2014/08/29,"[-0.3263733983039856, 0.6854645609855652, 4.414785385131836, 7.527954578399658, -4.184065818786621, -9.497961044311523, 8.141717910766602, 4.663496494293213, -9.362316131591797, -4.546707630157471]"
2014/08/30,"[-2.269937038421631, -0.905633807182312, 6.8563313484191895, 15.031381607055664, -9.080411911010742, -19.775449752807617, 15.418931007385254, 13.322342872619629, -11.435503005981445, 0.5434407591819763]"
2014/08/31,"[-1.4406484365463257, -5.6564040184021, 12.816605567932129, 13.849237442016602, -7.416985988616943, -33.24611282348633, 30.116790771484375, 15.957612037658691, -22.200546264648438, 3.2063405513763428]"
2014/09/01,"[0.04705226421356201, -2.286663293838501, 9.45704460144043, 7.6809468269348145, -3.7919394969940186, -19.149185180664062, 18.674711227416992, 8.074064254760742, -15.3184232711792, 0.5419713854789734]"
2014/09/02,"[-2.337277889251709, 0.9593807458877563, -1.0193790197372437, 8.623248100280762, -5.601038932800293, -6.433233261108398, 3.906655788421631, 4.747105598449707, -5.727343559265137, -5.437772274017334]"
2014/09/03,"[0.1715402752161026, -2.7941763401031494, 3.5348081588745117, 9.685733795166016, -6.458204746246338, -13.833440780639648, 10.935293197631836, 8.790702819824219, -11.55593490600586, -0.5445159077644348]"
2014/09/04,"[-2.294717788696289, -1.5449635982513428, 5.2718586921691895, 13.66180419921875, -8.190695762634277, -18.948278427124023, 15.29451847076416, 11.546896934509277, -13.135599136352539, -1.5347070693969727]"
2014/09/05,"[3.844782590866089, -7.8517279624938965, 18.686697006225586, 5.523590564727783, -2.2251014709472656, -35.83628463745117, 38.4892463684082, 12.232195854187012, -32.35866928100586, 7.883317470550537]"
2014/09/06,"[-1.0483368635177612, 0.1837729960680008, 5.634912967681885, 9.283586502075195, -5.004026412963867, -14.901266098022461, 14.093132019042969, 7.689959526062012, -13.354214668273926, -2.016556978225708]"
2014/09/07,"[-2.2147271633148193, 2.8177530765533447, 0.7781360149383545, 7.851755142211914, -5.020236492156982, -4.909440994262695, 2.979651927947998, 3.6951215267181396, -4.4496846199035645, -5.565260410308838]"
2014/09/08,"[-1.9281071424484253, 2.22788405418396, -0.5367381572723389, 8.264665603637695, -5.533986568450928, -2.948237895965576, 0.25357139110565186, 3.635711431503296, -3.1971521377563477, -6.163407325744629]"
2014/09/09,"[-0.5956211686134338, -7.618756294250488, 16.435041427612305, 7.12874174118042, -1.631746768951416, -38.16435623168945, 39.0814323425293, 15.035900115966797, -26.59136962890625, 8.971620559692383]"
2014/09/10,"[-1.9475637674331665, 1.2274653911590576, 5.534595012664795, 11.911699295043945, -5.636267185211182, -15.97826862335205, 15.23442268371582, 9.065408706665039, -13.466022491455078, -1.9677417278289795]"
2014/09/12,"[-0.8694677948951721, -0.482368528842926, 6.143762588500977, 11.896502494812012, -7.691660404205322, -15.175134658813477, 11.677497863769531, 10.015280723571777, -10.780975341796875, -0.7304615378379822]"
2014/09/13,"[-2.4215030670166016, -2.6190202236175537, 10.183623313903809, 7.854225158691406, -2.511068105697632, -25.204730987548828, 24.978483200073242, 10.127381324768066, -17.353431701660156, 1.6101195812225342]"
2014/09/14,"[0.6068609356880188, -6.166772365570068, 10.294878005981445, 10.657652854919434, -6.053696155548096, -27.762784957885742, 25.81452751159668, 13.241303443908691, -22.76778221130371, 2.8758270740509033]"
2014/09/15,"[-2.2281696796417236, 2.7549967765808105, -1.2214977741241455, 9.327620506286621, -5.677395343780518, -3.7407004833221436, 2.208117961883545, 4.581191539764404, -5.370659351348877, -5.532186031341553]"
2014/09/16,"[-0.48319366574287415, -8.655023574829102, 16.386669158935547, 10.447473526000977, -5.1594557762146, -39.764793395996094, 38.687339782714844, 17.021690368652344, -28.07622718811035, 8.136059761047363]"
2014/09/17,"[-2.841590642929077, 3.0851969718933105, -1.1401602029800415, 8.718242645263672, -4.067039489746094, -3.0530824661254883, 1.5166198015213013, 3.5459790229797363, -3.7363123893737793, -6.577747344970703]"
2014/09/19,"[-2.293698787689209, 3.2692387104034424, 9.471693992614746, 19.753461837768555, -11.35737419128418, -17.910991668701172, 11.215192794799805, 13.738626480102539, -8.432571411132812, -2.8771042823791504]"
2014/09/20,"[0.8844802379608154, -4.891375541687012, 13.542116165161133, 13.184412002563477, -5.271780967712402, -31.812349319458008, 31.580411911010742, 14.389670372009277, -28.244997024536133, 2.4989116191864014]"
2014/09/21,"[0.6004319190979004, -6.058263301849365, 13.762530326843262, 13.231651306152344, -6.604381561279297, -32.11842346191406, 29.245506286621094, 15.045671463012695, -25.132783889770508, 1.8418214321136475]"
2014/09/22,"[-4.812223434448242, 3.1078999042510986, 4.380375862121582, 17.86345100402832, -9.111753463745117, -17.684289932250977, 14.093062400817871, 12.616121292114258, -11.15031909942627, -4.426344394683838]"
2014/09/23,"[-1.6145892143249512, -6.308549880981445, 10.779644966125488, 14.579890251159668, -8.366344451904297, -31.28651237487793, 26.682157516479492, 17.2468204498291, -18.966028213500977, 4.472297191619873]"
2014/09/24,"[2.958523988723755, -7.662561893463135, 16.17911720275879, 1.5881361961364746, -0.548800528049469, -30.781667709350586, 33.1949462890625, 9.555898666381836, -26.007139205932617, 8.102288246154785]"
2014/09/25,"[2.343714714050293, -3.9621033668518066, 11.04265022277832, 9.140003204345703, -4.957973480224609, -21.262691497802734, 19.39012336730957, 10.965096473693848, -17.542409896850586, 2.9623711109161377]"
2014/09/26,"[-4.600398063659668, -1.4970557689666748, 10.054362297058105, 15.817419052124023, -6.252981662750244, -30.728689193725586, 29.352632522583008, 15.192044258117676, -21.707670211791992, -1.2312676906585693]"
2014/09/27,"[-3.0165510177612305, 2.7346041202545166, 2.6353952884674072, 13.090296745300293, -7.305442810058594, -9.748846054077148, 6.161471366882324, 7.728737831115723, -7.004400730133057, -6.230588436126709]"
2014/09/28,"[-2.23791241645813, -0.5413466691970825, 3.9570999145507812, 12.505040168762207, -7.162275314331055, -17.156801223754883, 14.498276710510254, 10.505833625793457, -14.02696704864502, -3.005922317504883]"
2015/04/06,"[-2.977691411972046, 0.2917236387729645, 2.489260673522949, 15.494881629943848, -8.801290512084961, -16.174461364746094, 12.399291038513184, 11.374075889587402, -14.098976135253906, -4.780700206756592]"
2015/04/07,"[-0.7221867442131042, -1.7733527421951294, 5.814786434173584, 2.7048532962799072, -2.0290634632110596, -12.180434226989746, 11.965072631835938, 4.26267147064209, -8.309113502502441, 0.5557219386100769]"
2015/04/08,"[-0.9203583002090454, -3.6382107734680176, 11.646766662597656, 17.146282196044922, -8.91543197631836, -29.37689781188965, 25.11078453063965, 17.407724380493164, -19.565006256103516, 2.766409158706665]"
2015/04/10,"[-2.775726079940796, -3.7734203338623047, 13.995987892150879, 16.194387435913086, -7.399960517883301, -37.05728530883789, 35.11838150024414, 17.192996978759766, -27.318483352661133, 1.5339581966400146]"
2015/04/11,"[-3.6527042388916016, -6.538837432861328, 11.77247142791748, 21.334299087524414, -11.51749038696289, -38.424293518066406, 32.21302032470703, 22.025928497314453, -23.178319931030273, 3.402430295944214]"
2015/04/12,"[-1.9029868841171265, 1.2718974351882935, 5.444068908691406, 15.300908088684082, -9.577776908874512, -16.10890007019043, 11.642549514770508, 10.81778335571289, -12.700831413269043, -4.711356163024902]"
2015/04/13,"[-1.8990721702575684, -6.699170112609863, 11.51733684539795, 11.971654891967773, -6.243979454040527, -32.91008377075195, 29.799968719482422, 15.445588111877441, -21.63747215270996, 3.1243622303009033]"
2015/04/14,"[-2.8278398513793945, -1.9119364023208618, 8.697358131408691, 17.79655647277832, -9.812808990478516, -28.091320037841797, 24.362661361694336, 15.846896171569824, -21.396926879882812, -2.428201198577881]"
2015/04/15,"[-3.0309107303619385, 1.195881724357605, 0.23797748982906342, 11.022903442382812, -6.2787346839904785, -8.487640380859375, 5.300361633300781, 7.001898765563965, -6.11113977432251, -4.675172328948975]"
2015/04/17,"[-0.608665943145752, -2.2707767486572266, 8.114840507507324, 10.86814022064209, -6.608911037445068, -21.862945556640625, 20.233333587646484, 10.812418937683105, -18.330158233642578, -0.31542328000068665]"
2015/04/18,"[-0.2777370810508728, -0.34403732419013977, 8.214295387268066, 14.93425178527832, -8.936934471130371, -17.76565933227539, 12.987549781799316, 10.253059387207031, -14.882552146911621, -6.260848522186279]"
2015/04/19,"[-1.4965579509735107, 3.9807815551757812, -0.24586418271064758, 12.899845123291016, -6.90815544128418, -2.1415393352508545, -0.8315152525901794, 4.9434685707092285, -3.846505880355835, -8.509702682495117]"
2015/04/20,"[-1.3859643936157227, 1.0610315799713135, 1.8328871726989746, 8.075470924377441, -4.560975074768066, -7.410231113433838, 5.750051975250244, 5.587301731109619, -6.181408882141113, -2.893225908279419]"
2015/04/21,"[0.17452983558177948, 3.043212890625, 3.421370029449463, 11.45246696472168, -8.072665214538574, -6.129591941833496, 2.5437564849853516, 5.443197250366211, -7.1133551597595215, -7.001359462738037]"
