"original_date","home_team_name","away_team_name","away_win","away_loss","away_team_hits","away_team_errors","away_team_hr","away_team_sb","away_team_so","home_win","home_loss","home_team_hits","home_team_errors","home_team_hr","home_team_sb","home_team_so","away_team_runs","home_team_runs","gameday_link","isHome","score_diff","opponent","wins","opponentAngels","opponentAstros","opponentAthletics","opponentBlue.Jays","opponentBraves","opponentBrewers","opponentCardinals","opponentCubs","opponentD.backs","opponentDodgers","opponentGiants","opponentIndians","opponentMariners","opponentMarlins","opponentMets","opponentNationals","opponentPadres","opponentPhillies","opponentPirates","opponentRangers","opponentRays","opponentRed.Sox","opponentReds","opponentRockies","opponentRoyals","opponentTides","opponentTigers","opponentTwins","opponentWhite.Sox","opponentYankees"
"2014/05/22","Orioles","Indians",23,25,14,2,"0","0","0",23,22,13,0,"0","0","0",8,7,"2014_05_22_clemlb_balmlb_1",1,-1,"Indians",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/05/23","Orioles","Indians",23,26,7,1,"1","1","1",24,22,14,0,"2","0","7",4,8,"2014_05_23_clemlb_balmlb_1",1,4,"Indians",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/05/24","Orioles","Indians",24,26,11,1,"1","1","11",24,23,8,1,"0","0","7",9,0,"2014_05_24_clemlb_balmlb_1",1,-9,"Indians",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/05/25","Orioles","Indians",24,27,5,1,"0","0","11",25,23,9,0,"2","2","8",2,4,"2014_05_25_clemlb_balmlb_1",1,2,"Indians",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/05/26","Brewers","Orioles",26,23,14,1,"2","0","9",30,22,11,0,"2","0","6",7,6,"2014_05_26_balmlb_milmlb_1",-1,1,"Brewers",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/05/27","Brewers","Orioles",26,24,7,1,"2","0","9",31,22,12,1,"3","0","11",6,7,"2014_05_27_balmlb_milmlb_1",-1,-1,"Brewers",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/05/28","Brewers","Orioles",26,25,9,0,"2","0","2",32,22,10,1,"1","2","10",3,8,"2014_05_28_balmlb_milmlb_1",-1,-5,"Brewers",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/05/29","Astros","Orioles",26,26,7,2,"0","0","9",23,32,5,0,"1","2","12",1,3,"2014_05_29_balmlb_houmlb_1",-1,-2,"Astros",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/05/30","Astros","Orioles",26,27,5,0,"0","0","5",24,32,5,0,"0","1","3",1,2,"2014_05_30_balmlb_houmlb_1",-1,-1,"Astros",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/05/31","Astros","Orioles",27,27,8,1,"1","0","6",24,33,5,0,"0","0","7",4,1,"2014_05_31_balmlb_houmlb_1",-1,3,"Astros",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
